rs_id,chromosome,snp_position,gene_symbol,effect_size,p_adjust,regulated_gene,tissue,lincrna_begin,lincrna_end,gwas_id,gwas_phenotype
rs12802200,11,566936,MIR210HG,-0.29,9.61E-06,PTDSS2,Heart_Atrial_Appendage,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.28,7.54E-06,HRAS,Heart_Atrial_Appendage,565660,568420,26502338,systemic lupus erythematosus
rs9392556,6,4146198,LOC100507506,-0.49,5.68E-06,C6orf201,Heart_Atrial_Appendage,4136306,4157619,24816252,blood metabolite levels
rs144447022,6,29244219,LOC101929006,1.05,4.89E-06,ZFP57,Heart_Atrial_Appendage,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.58,4.08E-08,IFITM4P,Heart_Atrial_Appendage,29942889,29946183,24939585,age-related hearing impairment
rs7246657,19,37747108,LINC01535,0.44,9.80E-05,ZNF571-AS1,Heart_Atrial_Appendage,37746818,37756377,23870195,coronary artery calcification
rs71327718,3,125592857,LOC101927056,0.98,3.64E-09,FAM86JP,Heart_Atrial_Appendage,125546100,125604920,23319000,metabolite levels
rs7359257,15,67702907,IQCH-AS1,0.38,4.22E-09,MAP2K5,Heart_Atrial_Appendage,67700415,67705876,21102462,menarche
rs7945071,11,110243922,LOC105369486,0.26,3.56E-05,FDX1,Heart_Atrial_Appendage,110225924,110252710,24684796,cognition related
rs7523273,1,207977083,MIR29C,-0.31,2.14E-07,CD46,Heart_Atrial_Appendage,207974863,208042495,26198764,schizophrenia
rs7523273,1,207977083,MIR29C,-0.31,2.14E-07,CD46,Heart_Atrial_Appendage,207974863,208042495,25056061,schizophrenia
rs1318653,1,208014922,MIR29C,-0.37,2.40E-08,CD46,Heart_Atrial_Appendage,207974863,208042495,25344690,febrile seizures
rs1318653,1,208014922,MIR29C,-0.37,2.40E-08,CD46,Heart_Atrial_Appendage,207974863,208042495,25344690,febrile seizures
rs6669384,1,208025926,MIR29C,-0.37,1.10E-08,CD46,Heart_Atrial_Appendage,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs6669384,1,208025926,MIR29C,-0.37,1.10E-08,CD46,Heart_Atrial_Appendage,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs1967689,1,208039471,MIR29C,-0.32,5.51E-07,CD46,Heart_Atrial_Appendage,207974863,208042495,23326517,age-related macular degeneration
rs134882,22,42670965,OGFRP1,0.43,2.58E-08,NAGA,Heart_Atrial_Appendage,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.43,2.58E-08,NAGA,Heart_Atrial_Appendage,42665774,42671039,20889312,schizophrenia
rs3892630,19,33181484,LOC105372367,-0.40,2.06E-11,NUDT19,Heart_Atrial_Appendage,33177995,33182656,23222517,red blood cell traits
rs11084786,19,35282181,LOC400685,-0.26,4.65E-06,ZNF181,Heart_Atrial_Appendage,35279486,35307804,25811787,urate levels related
rs6503525,17,38095174,LOC101928947,0.41,1.80E-06,PPP1R1B,Heart_Atrial_Appendage,38084120,38095854,21150878,asthma related
rs6503525,17,38095174,LOC101928947,-0.52,1.19E-07,GSDMA,Heart_Atrial_Appendage,38084120,38095854,21150878,asthma related
rs71327718,3,125592857,LOC101927056,1.14,6.11E-09,FAM86JP,Vagina,125546100,125604920,23319000,metabolite levels
rs12802200,11,566936,MIR210HG,-0.30,3.15E-07,RNH1,Nerve_Tibial,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.34,8.31E-13,HRAS,Nerve_Tibial,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,0.32,1.69E-05,TMEM80,Nerve_Tibial,565660,568420,26502338,systemic lupus erythematosus
rs4924410,15,40339494,SRP14-AS1,-0.25,1.70E-05,EIF2AK4,Nerve_Tibial,40331550,40349184,22327514,ewing sarcoma
rs11078597,17,1618363,MIR22,-0.22,7.32E-06,SERPINF2,Nerve_Tibial,1616742,1620468,23022100,serum albumin level
rs11078597,17,1618363,MIR22,-0.22,7.32E-06,SERPINF2,Nerve_Tibial,1616742,1620468,23022100,serum albumin level
rs9392556,6,4146198,LOC100507506,-0.35,3.40E-11,C6orf201,Nerve_Tibial,4136306,4157619,24816252,blood metabolite levels
rs9392556,6,4146198,LOC100507506,-0.32,1.88E-07,ECI2,Nerve_Tibial,4136306,4157619,24816252,blood metabolite levels
rs144447022,6,29244219,LOC101929006,1.07,1.82E-07,ZFP57,Nerve_Tibial,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.59,1.17E-11,IFITM4P,Nerve_Tibial,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,0.36,2.68E-05,HLA-J,Nerve_Tibial,29942889,29946183,24939585,age-related hearing impairment
rs12526186,6,30736151,HCG20,-0.23,1.43E-05,FLOT1,Nerve_Tibial,30734602,30760027,19721433,response to antipsychotic treatment
