mapped_snp_id,mapped_snps_gene,ld_snp,r^2,ld_snp_chromosome,ld_snp_position,ld_gene_symbol,correlation,p_adjust,regulated_vip_gene,tissue
rs2523855,HCG22,rs3915966,0.891955,6,31022274,HCG22,-0.315797,1.40366e-05,HLA-B,Heart_Atrial_Appendage
rs2523855,HCG22,rs2905757,0.896255,6,31022828,HCG22,-0.320071,1.40216e-05,HLA-B,Heart_Atrial_Appendage
rs3915966,HCG22,rs2905757,0.90439,6,31022828,HCG22,-0.320071,1.40216e-05,HLA-B,Heart_Atrial_Appendage
rs2523854,HCG22,rs9262625,0.960285,6,31022929,HCG22,-0.337498,6.28125e-06,HLA-B,Heart_Atrial_Appendage
rs2523854,HCG22,rs9262628,0.960285,6,31023148,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262625,HCG22,rs9262628,1,6,31023148,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs2523854,HCG22,rs9262629,0.952242,6,31023186,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262625,HCG22,rs9262629,0.99191,6,31023186,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262628,HCG22,rs9262629,0.99191,6,31023186,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs2523854,HCG22,rs2523852,0.960285,6,31023868,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262625,HCG22,rs2523852,1,6,31023868,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262628,HCG22,rs2523852,1,6,31023868,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262629,HCG22,rs2523852,0.99191,6,31023868,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs2523854,HCG22,rs2517525,0.956389,6,31025361,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262625,HCG22,rs2517525,0.995943,6,31025361,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262628,HCG22,rs2517525,0.995943,6,31025361,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262629,HCG22,rs2517525,0.987885,6,31025361,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs2523852,HCG22,rs2517525,0.995943,6,31025361,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs2523854,HCG22,rs2517523,0.960285,6,31026434,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262625,HCG22,rs2517523,1,6,31026434,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262628,HCG22,rs2517523,1,6,31026434,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262629,HCG22,rs2517523,0.99191,6,31026434,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs2523852,HCG22,rs2517523,1,6,31026434,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs2517525,HCG22,rs2517523,0.995943,6,31026434,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs2523854,HCG22,rs2523846,0.960285,6,31026589,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262625,HCG22,rs2523846,1,6,31026589,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262628,HCG22,rs2523846,1,6,31026589,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs9262629,HCG22,rs2523846,0.99191,6,31026589,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
