mapped_snp,mapped_snp_gene,mapped_snp_mirna,ld_snp,r^2,chromosome,ld_snp_position,ld_gene_symbol,effect_size,p_adjust,tissue,gwas_id,gwas_phenotype
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.215034,2.35309e-05,Adipose_Subcutaneous,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.241074,4.67561e-08,Colon_Transverse,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.279859,1.93855e-07,Whole_Blood,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.28091,3.20116e-05,Whole_Blood,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.283975,2.57196e-08,Thyroid,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.29692,2.20061e-09,Adipose_Visceral_Omentum,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.326918,2.46958e-06,Muscle_Skeletal,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.335032,4.57386e-06,Esophagus_Muscularis,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.354433,5.55552e-11,Cells_Transformed_fibroblasts,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.358991,2.87382e-05,Colon_Sigmoid,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.367434,7.78843e-13,Lung,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.371387,8.38004e-05,Nerve_Tibial,20195514,primary tooth development
